provider,game_id,name,image_url,downloaded_file
bgaming_slot,410069,Big Atlantis Frenzy,,assets/Dcace/BGaming/Game Icon/410069_Big Atlantis Frenzy.png
bgaming_slot,410070,Penny Pelican,,assets/Dcace/BGaming/Game Icon/410070_Penny Pelican.png
bgaming_slot,410071,Wild Cash,,assets/Dcace/BGaming/Game Icon/410071_Wild Cash.png
bgaming_slot,410072,Lucky Farm Bonanza,,assets/Dcace/BGaming/Game Icon/410072_Lucky Farm Bonanza.png
bgaming_slot,410073,Joker Queen,,assets/Dcace/BGaming/Game Icon/410073_Joker Queen.png
bgaming_slot,410074,Heads and Tails XY,,assets/Dcace/BGaming/Game Icon/410074_Heads and Tails XY.png
bgaming_slot,410075,Minesweeper XY,,assets/Dcace/BGaming/Game Icon/410075_Minesweeper XY.png
bgaming_slot,410076,Plinko XY,,assets/Dcace/BGaming/Game Icon/410076_Plinko XY.png
bgaming_slot,410077,Rocket Dice XY,,assets/Dcace/BGaming/Game Icon/410077_Rocket Dice XY.png
bgaming_slot,410078,Clover Bonanza,,assets/Dcace/BGaming/Game Icon/410078_Clover Bonanza.png
bgaming_slot,410079,Aztec Magic Bonanza,,assets/Dcace/BGaming/Game Icon/410079_Aztec Magic Bonanza.png
bgaming_slot,410080,Aztec Magic Megaways,,assets/Dcace/BGaming/Game Icon/410080_Aztec Magic Megaways.png
bgaming_slot,410081,Space XY,,assets/Dcace/BGaming/Game Icon/410081_Space XY.png
bgaming_slot,410082,Gift Rush,,assets/Dcace/BGaming/Game Icon/410082_Gift Rush.png
bgaming_slot,410083,Bonanza Billion,,assets/Dcace/BGaming/Game Icon/410083_Bonanza Billion.png
bgaming_slot,410084,Road 2 Riches,,assets/Dcace/BGaming/Game Icon/410084_Road 2 Riches.png
bgaming_slot,410085,Lucky Dama Muerta,,assets/Dcace/BGaming/Game Icon/410085_Lucky Dama Muerta.png
bgaming_slot,410086,Candy Monsta,,assets/Dcace/BGaming/Game Icon/410086_Candy Monsta.png
bgaming_slot,410087,Miss Cherry Fruits,,assets/Dcace/BGaming/Game Icon/410087_Miss Cherry Fruits.png
bgaming_slot,410088,Dragon's Gold 100,,assets/Dcace/BGaming/Game Icon/410088_Dragon's Gold 100.png
bgaming_slot,410089,Aloha King Elvis,,assets/Dcace/BGaming/Game Icon/410089_Aloha King Elvis.png
bgaming_slot,410090,Dig Dig Digger,,assets/Dcace/BGaming/Game Icon/410090_Dig Dig Digger.png
bgaming_slot,410091,WBC Ring Of Riches,,assets/Dcace/BGaming/Game Icon/410091_WBC Ring Of Riches.png
